Date,Time,Latitude,Longitude,Max Winds (kt),SS  HWS,RMW nm,Central Pressure (mb),States Affected,Storm Names,States Affected Names,States Affected Names_1,States Affected Names_2,States Affected Names_3,States Affected Names_4,States Affected Names_5,SS HWS max,Central Pressure (mb) min
9/18/2003,1700Z,34.9N,76.2W,90,2,40,957,NC2,Isabel,North Carolina,NULL,NULL,NULL,NULL,NULL,2,957
8/3/2004,1700Z,35.1N,75.4W,70,1,15,972,NC1,Alex,North Carolina,NULL,NULL,NULL,NULL,NULL,1,972
8/13/2004,1945Z,26.6N,82.2W,130,4,5,941,BFL4,Charley,Florida,NULL,NULL,NULL,NULL,NULL,4,941
8/29/2004,1400Z,33.0N,79.6W,65,1,10,985,SC1,Gaston,South Carolina,NULL,NULL,NULL,NULL,NULL,1,985
9/5/2004,0430Z,27.2N,80.2W,90,2,30,960,"CFL2,BFL1",Frances,Florida,NULL,NULL,NULL,NULL,NULL,2,960
9/16/2004,0650Z,30.2N,87.9W,105,3,25,946,"AL3,AFL3",Ivan,Alabama, Florida,NULL,NULL,NULL,NULL,3,946
9/26/2004,0400Z,27.2N,80.2W,105,3,45,950,"CFL3,BFL1,AFL1",Jeanne,Florida,NULL,NULL,NULL,NULL,NULL,3,950
7/6/2005,0300Z,29.2N,90.1W,65,1,20,991,LA1,Cindy,Louisiana,NULL,NULL,NULL,NULL,NULL,3,946
8/25/2005,2230Z,26.0N,80.1W,70,1,15,984,"CFL1,BFL1",Katrina,Florida,NULL,NULL,NULL,NULL,NULL,3,920
9/15/2005,0600Z,34.5N,76.3W,65,1,NULL,982,NC1,Ophelia,North Carolina,NULL,NULL,NULL,NULL,NULL,1,982
9/24/2005,0740Z,29.7N,93.7W,100,3,20,937,"LA3,CTX2",Rita,Louisiana, Texas,NULL,NULL,NULL,NULL,3,937
10/24/2005,1030Z,25.9N,81.7W,105,3,25,950,"BFL3,CFL2",Wilma,Florida,NULL,NULL,NULL,NULL,NULL,3,950
9/13/2007,0700Z,29.6N,94.3W,80,1,10,985,"CTX1,LA1",Humberto,Louisiana, Texas,NULL,NULL,NULL,NULL,1,985
7/23/2008,2000Z,26.4N,97.4W,70,1,10,967,ATX1,Dolly,Texas,NULL,NULL,NULL,NULL,NULL,1,967
9/1/2008,1500Z,29.2N,90.7W,90,2,25,954,LA2,Gustav,Louisiana,NULL,NULL,NULL,NULL,NULL,2,954
9/13/2008,0700Z,29.3N,94.7W,95,2,30,950,"CTX2,LA1",Ike,Louisiana, Texas,NULL,NULL,NULL,NULL,2,950
8/27/2011,1200Z,34.7N,76.6W,75,1,45,952,NC1,Irene,North Carolina,NULL,NULL,NULL,NULL,NULL,2,952
8/29/2012,0000Z,28.9N,89.4W,70,1,40,967,LA1,Isaac,Louisiana,NULL,NULL,NULL,NULL,NULL,1,966
10/29/2012,2035Z,38.7N,73.9W,65,1,80,942,NY1,Sandy,New York,NULL,NULL,NULL,NULL,NULL,1,942
7/4/2014,0315Z,34.7N,76.6W,85,2,20,973,NC2,Arthur,North Carolina,NULL,NULL,NULL,NULL,NULL,2,973
9/2/2016,0530Z,30.1N,84.1W,70,1,20,981,AFL1,Hermine,Florida,NULL,NULL,NULL,NULL,NULL,1,981
10/8/2016,1500Z,33.0N,79.5W,85,2,NULL,963,"DFL2, GA1, SC1, NC1",Matthew,North Carolina, Florida, South Carolina, Georgia,NULL,NULL,2,963
8/26/2017,0600Z,28.2N,97.1W,105,3,10,948,BTX4,Harvey,Texas,NULL,NULL,NULL,NULL,NULL,4,937
9/10/2017,1930Z,25.9N,81.7W,100,3,15,936,"BFL4,CFL1",Irma,Florida,NULL,NULL,NULL,NULL,NULL,4,931
10/8/2017,0000Z,29.1N,89.2W,75,1,15,983,LA1,Nate,Louisiana,NULL,NULL,NULL,NULL,NULL,1,983
9/14/2018,1115Z,34.2N,77.8W,80,1,25,956,NC1,Florence,North Carolina,NULL,NULL,NULL,NULL,NULL,1,956
10/10/2018,1730Z,30.0N,85.5W,140,5,10,919,"AFL5,I-GA2,AL1",Michael,Florida, Georgia, Alabama,NULL,NULL,NULL,5,919
7/13/2019,1500Z,29.6N,92.2W,65,1,40,993,LA1,Barry,Louisiana,NULL,NULL,NULL,NULL,NULL,1,993
9/6/2019,1230Z,35.2N,75.6W,85,2,20,956,NC2,Dorian,North Carolina,NULL,NULL,NULL,NULL,NULL,2,956
7/25/2020,2200Z,26.8N,97.3W,80,1,20,973,ATX1,Hanna,Texas,NULL,NULL,NULL,NULL,NULL,1,973
8/4/2020,0310Z,33.9N,78.5W,80,1,25,986,"SC1,NC1",Isaias,North Carolina, South Carolina,NULL,NULL,NULL,NULL,1,986
8/27/2020,0600Z,29.8N,93.3W,130,4,15,939,"LA4,CTX1",Laura,Louisiana, Texas,NULL,NULL,NULL,NULL,4,939
9/16/2020,0945Z,30.3N,87.7W,95,2,15,965,"AFL2,AL2",Sally,Florida, Alabama,NULL,NULL,NULL,NULL,2,965
10/9/2020,2300Z,29.8N,93.1W,85,2,15,970,LA2,Delta,Louisiana,NULL,NULL,NULL,NULL,NULL,2,970
10/28/2020,2100Z,29.2N,90.6W,100,3,20,970,"LA3, MS2, I-AL1",Zeta,Mississippi, Louisiana, Alabama,NULL,NULL,NULL,3,970
8/29/2021,1655Z,29.1N,90.2W,130,4,10,931,LA4,Ida,Louisiana,NULL,NULL,NULL,NULL,NULL,4,931
9/29/2021,0530Z,28.7N,95.7W,65,1,20,991,CTX1,Nicholas,Texas,NULL,NULL,NULL,NULL,NULL,1,991
9/28/2022,1905Z,26.7N,82.2W,130,4,20,941,BFL4,Ian,Florida,NULL,NULL,NULL,NULL,NULL,4,941
8/30/2023,1145Z,29.9N,83.6W,100,3,10,950,"AFL3, IGA1",Idalia,Florida, Georgia,NULL,NULL,NULL,NULL,3,950
